,smart_12_raw,smart_192_raw,smart_194_raw,smart_241_raw,smart_242_raw,0.5*smart_12_raw - 0.99*smart_242_raw,-1.04*smart_192_raw + 0.67*smart_241_raw,target
0,5,3.0,34.0,733,9.0,-6.41,487.99,0
1,5,3.0,29.0,834,9.0,-6.41,555.6600000000001,0
2,5,3.0,27.0,924,9.0,-6.41,615.96,0
3,5,3.0,32.0,987,9.0,-6.41,658.1700000000001,0
4,5,3.0,27.0,1118,9.0,-6.41,745.94,0
5,5,3.0,32.0,1185,9.0,-6.41,790.83,0
6,5,3.0,27.0,1317,9.0,-6.41,879.2700000000001,0
7,5,3.0,27.0,1383,9.0,-6.41,923.49,0
8,5,3.0,32.0,1516,9.0,-6.41,1012.6,0
9,5,3.0,35.0,1583,9.0,-6.41,1057.4900000000002,0
10,5,3.0,32.0,1714,9.0,-6.41,1145.2600000000002,0
11,5,3.0,33.0,1780,9.0,-6.41,1189.4800000000002,0
12,5,3.0,35.0,1913,9.0,-6.41,1278.5900000000001,0
13,5,3.0,32.0,1982,9.0,-6.41,1324.8200000000002,0
14,5,3.0,28.0,2114,9.0,-6.41,1413.2600000000002,0
15,5,3.0,33.0,2180,9.0,-6.41,1457.4800000000002,0
16,5,3.0,28.0,2312,9.0,-6.41,1545.9200000000003,0
17,5,3.0,27.0,2380,9.0,-6.41,1591.4800000000002,0
18,5,3.0,33.0,2513,9.0,-6.41,1680.5900000000001,0
19,5,3.0,33.0,2578,9.0,-6.41,1724.14,0
20,5,3.0,32.0,2712,9.0,-6.41,1813.9200000000003,0
21,5,3.0,32.0,2782,9.0,-6.41,1860.8200000000002,0
22,5,3.0,32.0,2916,9.0,-6.41,1950.6000000000001,0
23,5,3.0,32.0,3049,9.0,-6.41,2039.7100000000003,0
24,5,3.0,31.0,3113,9.0,-6.41,2082.59,0
25,5,3.0,32.0,3247,9.0,-6.41,2172.3700000000003,0
26,5,3.0,32.0,3316,9.0,-6.41,2218.6000000000004,0
27,5,3.0,27.0,3451,9.0,-6.41,2309.05,0
28,5,3.0,35.0,3515,9.0,-6.41,2351.9300000000003,0
29,5,3.0,32.0,3651,9.0,-6.41,2443.05,0
30,5,3.0,31.0,3722,9.0,-6.41,2490.6200000000003,0
31,5,3.0,32.0,3786,9.0,-6.41,2533.5000000000005,0
32,5,3.0,30.0,3921,9.0,-6.41,2623.9500000000003,0
33,5,3.0,27.0,3991,9.0,-6.41,2670.8500000000004,0
34,5,3.0,31.0,4126,9.0,-6.41,2761.3,0
35,5,3.0,27.0,4192,9.0,-6.41,2805.5200000000004,0
36,5,3.0,30.0,4327,9.0,-6.41,2895.9700000000003,0
37,5,3.0,27.0,4397,9.0,-6.41,2942.8700000000003,0
38,5,3.0,30.0,4530,10.0,-7.4,3031.9800000000005,0
39,5,3.0,32.0,4594,10.0,-7.4,3074.86,0
40,5,3.0,31.0,4729,10.0,-7.4,3165.3100000000004,0
41,5,3.0,27.0,4797,10.0,-7.4,3210.8700000000003,0
42,5,3.0,30.0,4932,10.0,-7.4,3301.32,0
43,5,3.0,32.0,5000,10.0,-7.4,3346.88,0
44,5,3.0,26.0,5133,10.0,-7.4,3435.9900000000002,0
45,5,3.0,26.0,5200,10.0,-7.4,3480.88,0
46,5,3.0,31.0,5335,10.0,-7.4,3571.3300000000004,0
47,5,3.0,31.0,5402,10.0,-7.4,3616.2200000000003,0
48,5,3.0,31.0,5537,10.0,-7.4,3706.6700000000005,0
49,5,3.0,31.0,5604,10.0,-7.4,3751.5600000000004,0
50,5,3.0,34.0,5774,58.0,-54.92,3865.4600000000005,0
51,5,3.0,35.0,5864,88.0,-84.62,3925.76,0
52,5,3.0,34.0,6044,156.0,-151.94,4046.36,0
53,6,3.0,35.0,6228,227.0,-221.73,4169.64,0
54,6,3.0,36.0,6318,263.0,-257.37,4229.9400000000005,0
55,6,3.0,36.0,6505,343.0,-336.57,4355.2300000000005,0
56,6,3.0,43.0,6599,383.0,-376.17,4418.21,0
57,6,3.0,38.0,6786,465.0,-457.35,4543.5,0
58,6,3.0,39.0,6877,495.0,-487.05,4604.47,0
59,6,3.0,40.0,7060,549.0,-540.51,4727.080000000001,0
60,6,3.0,39.0,7153,579.0,-570.21,4789.39,0
61,6,3.0,40.0,7340,648.0,-638.52,4914.68,0
62,6,3.0,40.0,7432,680.0,-670.2,4976.320000000001,0
63,6,3.0,40.0,7618,745.0,-734.55,5100.9400000000005,0
64,6,3.0,40.0,7716,789.0,-778.11,5166.6,0
65,6,3.0,40.0,7908,872.0,-860.28,5295.240000000001,0
66,6,3.0,39.0,8001,914.0,-901.86,5357.55,0
67,12,6.0,45.0,8478,1174.0,-1156.26,5674.02,0
68,13,7.0,44.0,8577,1199.0,-1180.51,5739.31,0
69,13,7.0,44.0,8670,1245.0,-1226.05,5801.620000000001,0
70,13,7.0,44.0,8857,1351.0,-1330.99,5926.910000000001,0
71,13,7.0,43.0,8950,1406.0,-1385.44,5989.22,0
72,13,7.0,44.0,9139,1522.0,-1500.28,6115.85,0
73,13,7.0,44.0,9235,1574.0,-1551.76,6180.170000000001,0
74,13,7.0,45.0,9424,1687.0,-1663.6299999999999,6306.8,0
75,13,7.0,44.0,9520,1748.0,-1724.02,6371.120000000001,0
76,13,7.0,43.0,9614,1807.0,-1782.43,6434.1,0
77,13,7.0,44.0,9803,1927.0,-1901.23,6560.7300000000005,0
78,13,7.0,44.0,9902,1993.0,-1966.57,6627.06,0
79,13,7.0,44.0,10096,2124.0,-2096.2599999999998,6757.040000000001,0
80,13,7.0,41.0,10291,2275.0,-2245.75,6887.6900000000005,0
81,13,7.0,41.0,10388,2349.0,-2319.0099999999998,6952.68,0
82,13,7.0,43.0,10585,2502.0,-2470.48,7084.670000000001,0
83,13,7.0,45.0,10689,2566.0,-2533.84,7154.35,0
84,13,7.0,43.0,10791,2682.0,-2648.68,7222.6900000000005,0
85,13,7.0,44.0,10857,2753.0,-2718.97,7266.910000000001,0
